Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Sand Point 1,oil,oil,PP,US,0.9,,,,,,2000,,, ,55.339722,-160.497222,,1,
Sand Point 2,oil,oil,PP,US,0.9,,,,,,2000,,, ,55.339722,-160.497222,,2,
Sand Point 3,oil,oil,PP,US,0.5,,,,,,2010,,, ,55.339722,-160.497222,,3,
Sand Point 4,oil,oil,PP,US,0.7,,,,,,2000,,,2023,55.339722,-160.497222,,5,
Sand Point 5,onwind,onwind,PP,US,0.5,,,,,,2011,,, ,55.339722,-160.497222,,WT1,
Sand Point 6,onwind,onwind,PP,US,0.5,,,,,,2011,,, ,55.339722,-160.497222,,WT2,
Bankhead Dam 1,hydro,Reservoir,PP,US,53.9,,,,,,1963,,, ,33.458665,-87.356823,,1,
Barry 1,OCGT,OCGT,PP,US,153.1,,,,,,1954,,, ,31.0069,-88.0103,,1,
Barry 2,OCGT,OCGT,PP,US,153.1,,,,,,1954,,, ,31.0069,-88.0103,,2,
Barry 3,coal,coal,PP,US,403.7,,,,,,1969,,, ,31.0069,-88.0103,,4,
Barry 4,coal,coal,PP,US,788.8,,,,,,1971,,, ,31.0069,-88.0103,,5,
Barry 5,CCGT,CCGT,PP,US,170.1,,,,,,2000,,, ,31.0069,-88.0103,,A1CT,
Barry 6,CCGT,CCGT,PP,US,170.1,,,,,,2000,,, ,31.0069,-88.0103,,A1CT2,
Barry 7,CCGT,CCGT,PP,US,195.2,,,,,,2000,,, ,31.0069,-88.0103,,A1ST,
Barry 8,CCGT,CCGT,PP,US,170.1,,,,,,2000,,, ,31.0069,-88.0103,,A2C1,
Barry 9,CCGT,CCGT,PP,US,170.1,,,,,,2000,,, ,31.0069,-88.0103,,A2C2,
Barry 10,CCGT,CCGT,PP,US,195.2,,,,,,2000,,, ,31.0069,-88.0103,,A2ST,
Walter Bouldin Dam 1,hydro,Reservoir,PP,US,75,,,,,,1967,,, ,32.583889,-86.283056,,1,
Walter Bouldin Dam 2,hydro,Reservoir,PP,US,75,,,,,,1967,,, ,32.583889,-86.283056,,2,
Walter Bouldin Dam 3,hydro,Reservoir,PP,US,75,,,,,,1967,,, ,32.583889,-86.283056,,3,
Gadsden 1,OCGT,OCGT,PP,US,69,,,,,,1949,,,2023,34.0128,-85.9708,,1,
Gadsden 2,OCGT,OCGT,PP,US,69,,,,,,1949,,,2023,34.0128,-85.9708,,2,
Copper 1,OCGT,OCGT,PP,US,86.9,,,,,,1980,,,2030,31.7569,-106.375,,1,
Greene County 1,OCGT,OCGT,PP,US,299.2,,,,,,1965,,, ,32.6017,-87.7811,,1,
Greene County 2,OCGT,OCGT,PP,US,269.2,,,,,,1966,,, ,32.6017,-87.7811,,2,
